datetime,Guanyuan,Nongzhanguan,Huairou,Dongsi,Wanshouxigong,Tiantan,Dingling,Wanliu,Gucheng,Aotizhongxin,Changping,Shunyi
2013-05-02,65,84,76,76,68,65,72,76,85,76,71,74
2013-05-03,47,49,51,48,48,44,52,50,56,51,47,43
2013-05-04,65,69,88,69,70,63,77,80,92,72,77,64
2013-05-05,129,154,129,153,137,126,108,140,145,145,107,108
2013-05-06,146,169,163,157,145,139,142,149,164,152,137,138
2013-05-07,124,140,157,127,114,110,106,129,140,138,107,131
2013-05-08,98,101,150,100,95,93,110,96,125,96,101,104
2013-05-09,28,36,143,32,30,41,40,37,59,40,32,37
2013-05-10,51,55,136,58,49,60,24,50,69,59,36,47
2013-05-11,81,78,129,81,63,82,25,77,69,79,38,59
2013-05-12,105,51,122,55,50,59,34,52,68,63,38,39
2013-05-13,128,100,115,112,96,110,76,97,99,109,67,120
2013-05-14,70,65,108,75,65,78,50,76,80,72,62,73
2013-05-15,86,86,101,91,82,86,76,85,91,96,68,96
2013-05-16,66,62,70,65,65,65,83,62,79,74,72,55
2013-05-17,85,82,87,81,88,87,103,80,97,83,94,73
2013-05-18,87,77,99,82,87,81,107,84,125,92,99,69
2013-05-19,117,84,86,95,80,93,80,93,86,103,101,57
2013-05-20,82,71,75,78,84,83,50,78,95,87,66,54
2013-05-21,144,119,128,131,136,141,110,117,134,143,120,115
2013-05-22,77,65,110,70,81,86,88,82,90,84,91,89
2013-05-23,82,76,73,76,81,98,57,82,82,83,74,115
2013-05-24,110,99,65,95,102,147,40,85,102,106,61,95
2013-05-25,65,57,66,55,67,82,53,65,85,72,60,62
2013-05-26,73,61,71,63,69,75,61,65,81,71,65,66
2013-05-27,44,37,35,40,41,45,24,44,41,49,28,30
2013-05-28,45,43,58,45,41,44,45,54,50,52,45,54
2013-05-29,33,26,29,29,27,37,23,26,35,34,35,33
2013-05-30,80,70,71,76,80,99,46,65,89,83,60,79
2013-05-31,98,76,103,79,91,89,91,85,109,95,102,92
2013-06-01,68,60,65,65,65,88,34,68,80,73,48,71
2013-06-02,115,90,130,96,110,130,113,118,139,110,126,126
2013-06-03,84,76,79,77,85,96,78,94,105,93,83,82
2013-06-04,91,74,75,75,87,131,69,87,99,100,83,79
2013-06-05,77,74,59,80,75,81,62,85,88,73,78,75
2013-06-06,85,81,57,87,85,98,53,95,100,82,66,67
2013-06-07,81,72,64,83,76,88,71,92,107,78,73,69
2013-06-08,122,93,74,115,104,115,69,111,112,118,73,93
2013-06-09,32,25,27,36,30,35,13,36,29,32,23,32
2013-06-10,18,17,21,18,24,22,15,20,29,21,17,22
2013-06-11,46,42,37,46,43,53,34,43,51,53,35,42
2013-06-12,45,42,47,47,36,41,46,40,48,43,45,43
2013-06-13,80,64,89,77,70,83,76,74,88,83,77,86
2013-06-14,95,82,126,94,86,108,86,83,105,96,97,97
2013-06-15,103,97,113,103,98,110,91,98,117,112,97,93
2013-06-16,108,102,99,106,105,110,93,115,126,110,100,95
2013-06-17,37,40,26,40,30,39,32,39,49,34,37,31
2013-06-18,46,47,45,49,51,57,46,49,53,59,52,54
2013-06-19,53,50,42,51,51,50,38,54,67,50,47,39
2013-06-20,72,84,38,78,78,91,35,55,71,55,46,65
2013-06-21,44,59,63,51,44,52,35,42,46,61,44,73
2013-06-22,31,29,46,31,32,31,22,34,34,38,27,31
2013-06-23,38,43,36,44,41,40,31,31,35,50,36,39
2013-06-24,64,66,135,64,63,73,65,71,67,76,68,132
2013-06-25,70,71,47,74,75,74,45,74,69,72,49,62
2013-06-26,93,98,66,99,96,92,66,101,99,91,63,81
2013-06-27,69,64,40,71,76,80,42,67,74,66,44,47
2013-06-28,185,203,137,195,191,198,125,189,168,197,140,178
2013-06-29,64,58,56,61,60,63,43,71,63,64,59,52
2013-06-30,129,118,123,122,116,114,117,153,138,136,135,118
2013-07-01,94,100,90,97,97,98,118,135,118,104,112,93
2013-07-02,17,33,31,32,33,32,28,23,28,28,28,31
2013-07-03,37,30,24,34,43,42,26,48,46,48,28,30
2013-07-04,43,35,28,42,40,35,27,42,44,38,26,28
2013-07-05,32,36,32,34,37,31,29,29,31,32,30,35
2013-07-06,53,57,63,56,55,56,53,55,53,80,57,67
2013-07-07,54,57,84,58,63,57,50,52,54,66,48,73
2013-07-08,60,58,46,59,56,55,39,60,45,59,43,143
2013-07-09,53,51,39,56,49,51,34,55,22,53,44,24
2013-07-10,20,19,21,21,17,19,9,20,13,25,15,18
2013-07-11,30,25,28,26,30,29,18,31,31,31,24,24
2013-07-12,46,45,46,45,43,46,42,48,47,50,43,49
2013-07-13,74,72,81,73,69,68,79,88,75,77,85,38
2013-07-14,62,56,73,58,58,56,72,77,74,60,76,42
2013-07-15,26,34,20,32,26,29,13,27,23,28,18,27
2013-07-16,20,24,16,22,26,21,22,19,21,20,21,29
2013-07-17,36,48,45,51,41,54,37,45,45,49,41,39
2013-07-18,82,92,102,90,90,89,89,86,85,87,92,93
2013-07-19,84,91,103,89,87,86,53,80,80,78,60,82
2013-07-20,57,68,35,72,98,77,33,52,52,58,30,44
2013-07-21,53,48,80,44,82,52,55,57,66,63,60,54
2013-07-22,60,61,84,67,82,75,65,65,66,75,68,72
2013-07-23,40,44,65,43,55,42,48,40,48,44,48,42
2013-07-24,43,33,35,46,46,49,27,50,42,39,32,29
2013-07-25,48,37,41,48,40,53,39,59,45,48,41,39
2013-07-26,54,40,44,50,34,54,31,46,51,47,37,40
2013-07-27,65,75,46,73,71,70,40,69,65,63,50,65
2013-07-28,38,48,36,44,35,40,24,40,50,41,31,43
2013-07-29,62,52,67,69,52,69,34,61,65,59,46,70
2013-07-30,71,75,77,86,65,73,55,67,65,78,61,75
2013-07-31,50,47,46,68,53,50,50,43,47,42,51,44
2013-08-01,26,25,27,27,25,25,23,26,27,26,27,24
2013-08-02,49,49,39,51,47,49,35,43,44,44,37,44
2013-08-03,47,43,52,45,50,43,49,46,47,34,54,44
2013-08-04,65,62,56,70,57,74,44,62,65,55,51,53
2013-08-05,45,44,46,46,45,43,36,46,47,48,47,45
2013-08-06,85,93,86,107,80,102,69,82,85,103,84,83
2013-08-07,22,23,22,24,25,23,25,24,29,20,21,24
2013-08-08,32,32,33,40,30,35,38,32,41,37,41,35
2013-08-09,43,43,38,49,44,45,35,55,60,47,41,47
2013-08-10,76,84,77,91,54,85,63,80,90,87,73,69
2013-08-11,78,91,96,54,88,91,80,78,103,88,82,111
2013-08-12,32,33,37,39,29,28,32,29,30,29,34,31
2013-08-13,57,55,71,56,54,56,57,55,64,55,58,59
2013-08-14,56,48,58,65,45,59,51,60,68,55,55,46
2013-08-15,80,77,84,85,62,79,66,86,89,83,76,84
2013-08-16,92,81,84,196,89,95,71,86,89,91,80,79
2013-08-17,45,29,31,105,35,45,26,39,37,40,39,40
2013-08-18,27,30,23,32,39,30,27,28,31,28,29,26
2013-08-19,29,25,21,32,46,32,28,38,36,30,29,25
2013-08-20,79,62,56,83,82,70,35,86,80,87,57,63
2013-08-21,65,68,59,64,79,55,48,70,66,64,56,61
2013-08-22,77,75,79,83,89,78,51,82,76,89,64,74
2013-08-23,44,44,26,43,58,39,23,39,38,51,33,28
2013-08-24,49,46,21,53,74,48,29,52,45,49,31,25
2013-08-25,47,54,42,54,63,48,43,54,47,54,48,46
2013-08-26,64,63,55,68,85,63,48,68,63,63,52,47
2013-08-27,54,45,49,48,60,38,43,65,66,51,50,36
2013-08-28,43,41,35,44,51,41,41,46,49,36,42,35
2013-08-29,27,28,13,25,24,21,16,22,23,29,18,16
2013-08-30,16,17,17,19,23,18,19,16,21,14,20,17
2013-08-31,24,32,16,30,36,24,18,30,26,28,20,21
2013-09-01,54,51,22,52,69,55,23,56,48,54,33,29
2013-09-02,37,46,31,45,52,41,32,43,45,45,37,37
2013-09-03,71,69,44,74,86,69,43,78,79,79,64,51
2013-09-04,41,41,41,42,50,44,29,41,35,41,32,38
2013-09-05,24,25,21,24,27,25,25,21,26,19,25,26
2013-09-06,38,42,40,40,51,41,33,41,43,40,36,32
2013-09-07,51,51,31,50,62,45,25,51,57,52,35,29
2013-09-08,76,84,47,85,97,91,33,67,73,70,53,47
2013-09-09,43,45,53,47,54,49,38,48,54,48,41,48
2013-09-10,42,44,46,48,61,43,31,41,42,43,27,48
2013-09-11,65,70,56,65,74,77,38,59,55,64,51,57
2013-09-12,117,109,83,111,126,111,74,112,113,118,94,102
2013-09-13,62,58,47,65,81,67,45,49,58,60,43,70
2013-09-14,35,36,27,44,47,48,15,27,34,39,20,32
2013-09-15,33,28,30,31,40,47,21,41,38,38,32,30
2013-09-16,61,51,54,54,69,55,35,58,58,61,59,55
2013-09-17,74,68,65,68,80,74,45,72,65,72,70,60
2013-09-18,64,61,67,65,63,64,61,71,67,63,69,62
2013-09-19,66,68,68,71,65,68,57,73,66,63,64,72
2013-09-20,34,33,26,37,52,42,20,30,28,44,23,34
2013-09-21,42,57,46,53,54,63,28,39,39,45,34,41
2013-09-22,53,76,68,62,60,57,33,57,54,76,57,91
2013-09-23,26,33,24,28,25,27,13,30,22,36,20,24
2013-09-24,17,13,12,16,23,31,15,24,16,14,11,16
2013-09-25,23,20,33,20,30,30,15,31,31,25,20,24
2013-09-26,52,51,49,52,69,56,28,55,59,56,44,54
2013-09-27,128,132,124,130,142,141,81,135,114,126,97,131
2013-09-28,160,141,152,146,167,145,159,172,170,156,164,138
2013-09-29,132,132,126,138,135,133,129,150,130,138,147,124
2013-09-30,97,79,67,87,95,77,73,118,120,98,81,69
2013-10-01,50,45,32,45,56,48,39,60,67,51,39,32
2013-10-02,15,15,23,16,22,19,19,19,19,18,16,22
2013-10-03,62,51,45,50,75,61,29,60,70,55,46,41
2013-10-04,97,97,97,97,114,103,57,87,89,102,83,108
2013-10-05,183,174,158,184,200,179,162,188,177,180,166,154
2013-10-06,133,118,109,153,124,110,107,156,135,141,119,114
2013-10-07,52,54,61,85,63,59,34,61,56,55,44,49
2013-10-08,49,50,41,48,60,55,20,55,58,52,40,55
2013-10-09,107,95,79,99,119,109,62,110,99,110,84,99
2013-10-10,75,60,56,58,59,74,46,75,73,63,57,63
2013-10-11,47,47,38,49,64,51,39,58,70,57,37,41
2013-10-12,61,47,41,50,67,66,38,71,65,51,52,49
2013-10-13,40,32,30,35,55,49,37,44,46,33,40,36
2013-10-14,25,23,26,26,33,29,20,39,35,22,28,20
2013-10-15,21,16,20,17,28,30,18,31,30,15,21,24
2013-10-16,46,43,30,29,64,47,31,58,51,49,50,48
2013-10-17,87,99,74,93,118,100,68,98,85,102,80,96
2013-10-18,145,134,102,144,162,135,112,154,146,152,115,118
2013-10-19,43,41,52,44,42,48,32,46,40,41,38,47
2013-10-20,21,18,21,20,32,26,15,32,31,28,20,28
2013-10-21,70,70,54,65,81,69,53,76,76,77,59,76
2013-10-22,99,81,71,88,106,85,64,102,97,102,77,80
2013-10-23,51,19,30,40,29,38,41,54,47,40,43,25
2013-10-24,30,18,26,23,28,28,24,28,27,24,24,23
2013-10-25,39,32,37,37,40,31,26,45,34,37,31,32
2013-10-26,51,47,41,48,61,51,48,74,60,54,62,43
2013-10-27,120,142,101,134,146,129,97,125,116,135,96,122
2013-10-28,181,173,157,175,203,181,153,187,161,181,151,158
2013-10-29,60,37,38,25,39,29,16,40,29,29,14,46
2013-10-30,66,79,40,60,76,66,48,72,67,66,47,61
2013-10-31,99,107,77,93,110,93,70,111,100,102,87,88
2013-11-01,113,136,102,117,140,120,102,115,112,120,99,113
2013-11-02,147,155,151,159,165,146,127,155,152,139,135,140
2013-11-03,41,39,65,33,30,40,20,40,20,32,24,39
2013-11-04,40,35,29,28,43,36,23,56,57,36,37,30
2013-11-05,133,150,74,125,147,121,74,123,101,132,78,99
2013-11-06,95,101,55,80,84,88,41,99,69,86,67,71
2013-11-07,32,29,25,27,37,31,27,46,34,39,27,32
2013-11-08,94,113,69,100,111,93,76,98,82,103,78,88
2013-11-09,76,73,61,62,69,72,52,85,55,75,53,68
2013-11-10,31,23,22,18,25,30,22,28,25,25,23,22
2013-11-11,32,33,30,26,42,34,26,39,34,33,30,39
2013-11-12,48,46,38,39,58,47,23,60,62,50,46,40
2013-11-13,111,121,81,107,132,115,67,112,96,114,78,104
2013-11-14,61,65,46,57,65,60,39,72,64,61,53,77
2013-11-15,109,103,85,120,122,98,83,122,81,100,88,98
2013-11-16,61,61,45,64,53,60,41,61,47,54,42,54
2013-11-17,17,12,21,15,13,14,17,20,17,15,15,13
2013-11-18,14,14,22,16,9,14,18,18,14,11,18,18
2013-11-19,25,20,13,27,32,24,19,28,32,30,21,19
2013-11-20,49,41,23,44,55,44,68,64,54,59,47,25
2013-11-21,69,72,27,69,80,67,41,79,60,76,53,41
2013-11-22,90,92,43,96,104,93,64,108,79,94,87,59
2013-11-23,128,137,68,137,146,136,46,141,138,130,59,84
2013-11-24,81,90,64,92,84,89,80,80,50,101,76,65
2013-11-25,15,13,14,17,15,19,16,29,19,15,22,18
2013-11-26,43,35,25,31,24,39,19,32,25,29,26,28
2013-11-27,32,28,29,23,17,21,21,28,28,23,22,21
2013-11-28,22,24,18,20,22,22,20,27,19,23,23,15
2013-11-29,55,41,32,42,64,56,18,66,66,55,25,38
2013-11-30,38,31,30,30,29,30,24,34,25,34,23,32
2013-12-01,66,55,34,54,75,62,23,53,68,57,34,40
2013-12-02,79,93,38,72,80,75,71,94,84,80,96,43
2013-12-03,68,65,57,54,57,60,38,67,61,61,31,31
2013-12-04,75,71,41,61,89,81,41,90,79,64,37,36
2013-12-05,41,38,20,31,39,35,17,42,40,34,21,21
2013-12-06,82,104,45,84,126,96,61,96,76,92,60,88
2013-12-07,171,210,100,183,211,181,117,177,138,165,116,127
2013-12-08,125,140,120,136,134,128,68,124,119,119,83,122
2013-12-09,12,16,13,15,10,13,21,18,19,12,14,15
2013-12-10,39,34,18,23,36,30,21,37,35,23,35,20
2013-12-11,20,23,19,15,25,20,21,24,28,20,16,11
2013-12-12,30,21,21,16,26,21,18,21,23,17,14,12
2013-12-13,45,47,28,40,59,45,26,52,53,38,29,23
2013-12-14,46,41,22,33,50,38,21,60,53,43,27,13
2013-12-15,32,35,22,24,33,28,38,52,50,35,45,30
2013-12-16,81,110,84,87,93,83,61,95,66,86,63,60
2013-12-17,52,55,37,48,59,52,28,52,38,43,34,33
2013-12-18,30,33,22,26,35,27,17,42,32,33,19,14
2013-12-19,39,34,19,28,41,32,19,42,38,36,36,18
2013-12-20,38,33,23,24,34,28,20,47,42,36,26,18
2013-12-21,47,49,19,43,60,44,28,64,64,47,52,28
2013-12-22,98,116,36,95,142,101,57,112,89,96,71,94
2013-12-23,95,119,57,86,123,90,53,113,81,109,88,58
2013-12-24,173,202,107,186,215,190,88,161,121,161,97,110
2013-12-25,149,144,109,127,144,137,92,164,132,152,110,114
2013-12-26,16,16,23,20,16,20,24,16,25,17,17,21
2013-12-27,16,19,24,12,18,13,17,22,19,21,17,18
2013-12-28,15,13,26,14,19,14,20,20,20,13,17,21
2013-12-29,53,57,54,52,72,55,29,66,56,66,40,53
2013-12-30,61,52,46,42,45,46,38,58,56,58,58,65
2013-12-31,87,92,73,77,90,74,85,103,76,140,117,96
2014-01-01,72,75,59,59,97,63,49,92,65,101,57,63
2014-01-02,110,136,83,101,129,97,62,123,91,115,93,98
2014-01-03,64,69,50,55,66,60,39,71,62,68,51,53
2014-01-04,99,104,80,82,113,92,61,104,94,94,77,86
2014-01-05,61,66,68,54,60,54,37,81,64,70,50,68
2014-01-06,78,82,111,80,94,80,106,82,86,79,100,94
2014-01-07,69,65,66,61,82,54,50,72,56,63,53,58
2014-01-08,16,15,17,17,23,17,21,11,19,12,16,16
2014-01-09,83,29,23,19,37,24,23,28,30,25,26,27
2014-01-10,85,65,43,40,80,54,44,70,67,53,57,47
2014-01-11,97,116,58,80,133,100,55,110,83,92,65,71
2014-01-12,24,25,24,15,33,22,21,27,27,24,19,18
2014-01-13,69,84,38,62,106,80,56,80,68,65,46,54
2014-01-14,61,85,30,70,79,77,40,81,67,62,71,53
2014-01-15,122,128,44,119,148,125,76,131,112,110,100,88
2014-01-16,238,270,161,247,296,255,122,232,242,238,160,216
2014-01-17,119,91,103,103,114,96,82,127,125,80,76,70
2014-01-18,57,46,51,50,75,64,39,76,68,50,41,41
2014-01-19,120,117,97,119,118,111,113,136,105,123,109,86
2014-01-20,19,22,28,22,16,22,26,20,26,23,22,28
2014-01-21,30,27,28,28,34,25,27,35,31,36,24,24
2014-01-22,87,95,58,84,106,84,71,93,70,86,67,78
2014-01-23,158,185,121,163,190,155,168,155,127,152,145,148
2014-01-24,99,96,88,89,94,85,89,124,99,101,115,86
2014-01-25,26,20,29,18,30,21,26,28,27,24,20,21
2014-01-26,47,45,51,41,60,46,51,51,52,43,49,54
2014-01-27,68,73,51,70,76,69,70,69,66,69,70,70
2014-01-28,46,45,47,43,57,49,45,47,44,42,41,42
2014-01-29,83,90,78,82,97,82,87,90,73,82,80,91
2014-01-30,52,55,64,52,64,52,42,60,50,46,55,47
2014-01-31,101,118,95,106,141,103,103,110,119,97,99,111
2014-02-01,81,87,88,82,90,79,92,87,79,77,87,91
2014-02-02,65,63,42,59,54,63,56,59,50,53,55,47
2014-02-03,25,24,32,25,21,26,26,20,31,25,27,26
2014-02-04,25,22,26,26,39,26,23,26,34,21,24,23
2014-02-05,60,61,54,58,77,58,55,68,62,60,55,60
2014-02-06,71,79,74,72,82,70,79,78,69,71,70,76
2014-02-07,53,52,68,52,53,51,73,59,56,50,63,61
2014-02-08,32,28,52,31,30,28,39,39,33,31,37,52
2014-02-09,11,20,29,21,21,21,24,16,24,20,20,21
2014-02-10,15,17,21,18,18,20,19,20,19,16,16,18
2014-02-11,66,67,48,71,80,67,50,68,61,60,46,68
2014-02-12,71,75,48,76,79,75,55,73,66,71,63,67
2014-02-13,114,112,115,114,116,113,117,126,115,110,110,108
2014-02-14,162,171,144,174,191,152,153,172,177,153,140,162
2014-02-15,237,271,206,255,288,244,223,250,228,241,201,235
2014-02-16,188,179,168,185,211,194,144,193,190,192,159,166
2014-02-17,45,48,101,46,45,43,89,47,63,48,78,74
2014-02-18,39,42,50,39,42,40,58,40,44,45,56,47
2014-02-19,35,49,53,39,37,33,23,41,40,43,26,47
2014-02-20,142,140,111,131,161,128,100,136,141,135,110,116
2014-02-21,156,168,165,158,161,143,193,194,177,162,175,173
2014-02-22,174,173,154,162,192,159,195,195,170,182,180,162
2014-02-23,132,150,158,136,144,123,176,141,135,138,142,157
2014-02-24,211,211,188,195,216,190,178,201,181,185,168,192
2014-02-25,239,255,205,228,260,204,225,246,227,236,204,228
2014-02-26,205,216,259,217,218,198,113,194,201,210,172,275
2014-02-27,19,22,27,22,23,19,28,18,29,21,16,24
2014-02-28,52,54,43,47,58,40,49,85,66,60,64,44
2014-03-01,47,53,57,42,51,42,29,56,61,57,41,53
2014-03-02,97,106,95,90,120,94,65,107,117,99,90,98
2014-03-03,148,159,117,137,170,141,144,163,158,152,151,129
2014-03-04,38,40,37,32,40,37,23,48,36,42,33,41
2014-03-05,18,19,23,19,23,18,26,28,26,21,19,21
2014-03-06,19,20,23,21,21,19,25,20,22,19,19,21
2014-03-07,43,44,31,39,52,39,25,51,51,46,31,41
2014-03-08,97,114,79,97,119,96,64,111,99,104,77,101
2014-03-09,66,80,56,61,80,61,60,76,79,70,74,70
2014-03-10,58,70,48,54,71,55,60,68,47,61,57,57
2014-03-11,151,121,84,111,125,107,89,120,99,117,97,106
2014-03-12,27,28,30,26,28,24,31,23,28,23,13,28
2014-03-13,46,38,34,37,55,39,40,57,58,51,48,29
2014-03-14,45,45,42,41,59,45,42,52,56,52,52,36
2014-03-15,101,104,74,104,140,97,79,115,118,120,96,95
2014-03-16,107,109,127,105,140,105,111,115,117,127,128,132
2014-03-17,146,131,111,121,150,130,171,153,154,153,142,130
2014-03-18,68,69,75,52,79,66,66,72,77,81,70,76
2014-03-19,56,54,48,43,59,52,36,59,60,67,55,58
2014-03-20,22,25,31,25,26,22,31,20,29,22,25,22
2014-03-21,34,33,33,25,53,41,25,41,74,48,31,52
2014-03-22,68,77,50,81,91,71,29,84,112,90,49,68
2014-03-23,96,106,109,106,129,96,96,112,131,111,120,115
2014-03-24,142,142,134,156,184,134,135,162,169,161,144,142
2014-03-25,131,135,140,144,168,120,132,156,159,153,147,134
2014-03-26,181,189,168,201,229,173,147,210,197,207,169,182
2014-03-27,161,179,149,187,174,135,171,197,185,175,163,151
2014-03-28,85,102,93,96,111,100,80,96,100,95,85,99
2014-03-29,37,54,41,49,42,59,34,45,62,40,30,47
2014-03-30,40,50,33,46,47,48,28,58,65,55,31,34
2014-03-31,98,114,89,117,103,103,63,125,130,116,87,111
2014-04-01,73,75,65,73,80,74,56,79,76,71,56,71
2014-04-02,84,98,76,105,74,91,85,110,121,99,81,95
2014-04-03,38,48,31,47,32,47,30,40,63,59,40,41
2014-04-04,67,81,80,81,79,72,64,87,103,86,71,79
2014-04-05,52,55,34,53,56,49,35,56,62,61,34,42
2014-04-06,79,87,55,86,87,73,48,93,125,108,69,79
2014-04-07,103,103,97,105,108,88,90,117,139,123,99,114
2014-04-08,148,139,126,147,141,116,127,165,174,155,140,131
2014-04-09,130,143,138,134,121,118,132,143,145,151,143,146
2014-04-10,221,228,217,239,226,210,216,253,267,234,225,230
2014-04-11,65,62,68,60,63,55,64,75,97,69,69,69
2014-04-12,79,92,67,85,84,72,60,92,98,92,73,85
2014-04-13,111,113,112,116,118,99,95,126,150,129,111,126
2014-04-14,143,146,150,154,149,136,156,181,153,160,152,159
2014-04-15,83,63,94,82,66,52,96,107,104,96,109,81
2014-04-16,59,70,57,68,70,55,53,73,97,75,72,75
2014-04-17,73,73,59,73,72,67,51,80,91,95,60,73
2014-04-18,80,78,77,85,85,83,83,96,96,93,98,78
2014-04-19,41,41,42,52,50,40,43,43,62,67,54,43
2014-04-20,43,43,38,49,46,41,27,47,55,61,38,37
2014-04-21,44,45,26,52,46,41,33,54,71,71,36,22
2014-04-22,59,61,46,63,64,53,40,62,80,86,45,49
2014-04-23,88,87,88,90,91,82,70,92,117,115,78,95
2014-04-24,72,65,81,76,81,70,73,79,97,87,80,81
2014-04-25,106,105,105,125,108,103,109,117,124,129,122,110
2014-04-26,47,51,50,53,53,50,33,50,80,57,70,53
2014-04-27,50,48,44,61,52,45,35,66,69,68,77,47
2014-04-28,50,66,56,58,58,49,54,60,75,78,84,59
2014-04-29,87,93,68,91,84,73,50,95,111,89,91,82
2014-04-30,91,93,87,77,90,77,74,102,119,106,96,93
2014-05-01,101,115,95,114,101,97,73,106,126,119,120,110
2014-05-02,27,31,32,28,30,28,34,27,36,35,30,29
2014-05-03,76,94,59,98,77,74,29,81,126,112,65,66
2014-05-04,31,32,37,39,31,42,30,39,41,35,37,35
2014-05-05,33,82,26,34,35,26,31,35,49,36,26,26
2014-05-06,81,102,63,87,68,79,46,80,82,82,60,80
2014-05-07,65,65,43,75,31,62,32,72,70,77,41,60
2014-05-08,66,68,52,69,64,63,43,65,76,85,48,67
2014-05-09,68,66,63,69,65,61,44,64,68,71,54,64
2014-05-10,56,54,46,57,52,49,45,57,58,58,44,47
2014-05-11,24,29,29,26,28,25,30,19,25,23,21,27
2014-05-12,39,40,18,41,38,28,27,43,61,48,35,39
2014-05-13,75,75,49,83,71,58,43,84,80,77,69,65
2014-05-14,42,39,31,41,39,45,28,44,53,49,32,29
2014-05-15,118,120,95,119,107,70,81,128,150,135,97,88
2014-05-16,79,76,64,81,73,82,47,92,96,90,62,62
2014-05-17,70,70,64,72,65,64,49,83,108,90,63,60
2014-05-18,94,99,72,98,87,96,56,99,97,135,64,83
2014-05-19,98,96,73,104,96,97,61,101,109,109,76,80
2014-05-20,83,77,50,86,74,73,45,85,98,101,52,55
