datetime,ispu,station
2016-04-30,65,Huairou
2016-05-31,50,Huairou
2016-06-30,45,Huairou
2016-07-31,42,Huairou
2016-08-31,33,Huairou
2016-09-30,33,Huairou
2016-10-31,56,Huairou
2016-11-30,71,Huairou
2016-12-31,66,Huairou
2017-01-31,66,Huairou
2017-02-28,48,Huairou
2013-03-31,79,Dongsi
2013-04-30,61,Dongsi
2013-05-31,78,Dongsi
2013-06-30,74,Dongsi
2013-07-31,54,Dongsi
2013-08-31,58,Dongsi
2013-09-30,61,Dongsi
2013-10-31,68,Dongsi
2013-11-30,60,Dongsi
2013-12-31,58,Dongsi
2014-01-31,71,Dongsi
2014-02-28,97,Dongsi
2014-03-31,79,Dongsi
2014-04-30,88,Dongsi
2014-05-31,74,Dongsi
2014-06-30,49,Dongsi
2014-07-31,62,Dongsi
2014-08-31,52,Dongsi
2014-09-30,57,Dongsi
2014-10-31,95,Dongsi
2014-11-30,80,Dongsi
2014-12-31,60,Dongsi
2015-01-31,69,Dongsi
2015-02-28,77,Dongsi
2015-03-31,100,Dongsi
2015-04-30,74,Dongsi
2015-05-31,55,Dongsi
2015-06-30,52,Dongsi
2015-07-31,50,Dongsi
2015-08-31,44,Dongsi
2015-09-30,44,Dongsi
2015-10-31,63,Dongsi
2015-11-30,79,Dongsi
2015-12-31,103,Dongsi
2016-01-31,52,Dongsi
2016-02-29,39,Dongsi
2016-03-31,87,Dongsi
2016-04-30,71,Dongsi
2016-05-31,51,Dongsi
2016-06-30,48,Dongsi
2016-07-31,52,Dongsi
2016-08-31,37,Dongsi
2016-09-30,43,Dongsi
2016-10-31,70,Dongsi
2016-11-30,83,Dongsi
2016-12-31,112,Dongsi
2017-01-31,94,Dongsi
2017-02-28,62,Dongsi
2013-03-31,79,Wanshouxigong
2013-04-30,57,Wanshouxigong
2013-05-31,76,Wanshouxigong
2013-06-30,72,Wanshouxigong
2013-07-31,53,Wanshouxigong
2013-08-31,53,Wanshouxigong
2013-09-30,70,Wanshouxigong
2013-10-31,79,Wanshouxigong
2013-11-30,67,Wanshouxigong
2013-12-31,72,Wanshouxigong
2014-01-31,91,Wanshouxigong
2014-02-28,107,Wanshouxigong
2014-03-31,94,Wanshouxigong
2014-04-30,84,Wanshouxigong
2014-05-31,70,Wanshouxigong
2014-06-30,51,Wanshouxigong
2014-07-31,66,Wanshouxigong
2014-08-31,55,Wanshouxigong
2014-09-30,58,Wanshouxigong
2014-10-31,86,Wanshouxigong
2014-11-30,85,Wanshouxigong
2014-12-31,66,Wanshouxigong
2015-01-31,76,Wanshouxigong
2015-02-28,80,Wanshouxigong
2015-03-31,92,Wanshouxigong
2015-04-30,73,Wanshouxigong
2015-05-31,56,Wanshouxigong
2015-06-30,51,Wanshouxigong
2015-07-31,47,Wanshouxigong
2015-08-31,45,Wanshouxigong
2015-09-30,42,Wanshouxigong
2015-10-31,59,Wanshouxigong
2015-11-30,78,Wanshouxigong
2015-12-31,110,Wanshouxigong
2016-01-31,53,Wanshouxigong
2016-02-29,38,Wanshouxigong
2016-03-31,79,Wanshouxigong
2016-04-30,67,Wanshouxigong
2016-05-31,56,Wanshouxigong
2016-06-30,53,Wanshouxigong
2016-07-31,50,Wanshouxigong
2016-08-31,39,Wanshouxigong
2016-09-30,41,Wanshouxigong
2016-10-31,56,Wanshouxigong
2016-11-30,81,Wanshouxigong
2016-12-31,101,Wanshouxigong
2017-01-31,89,Wanshouxigong
2017-02-28,56,Wanshouxigong
2013-03-31,75,Tiantan
2013-04-30,55,Tiantan
2013-05-31,82,Tiantan
2013-06-30,81,Tiantan
2013-07-31,53,Tiantan
2013-08-31,51,Tiantan
2013-09-30,63,Tiantan
2013-10-31,70,Tiantan
2013-11-30,61,Tiantan
2013-12-31,61,Tiantan
2014-01-31,74,Tiantan
2014-02-28,93,Tiantan
2014-03-31,76,Tiantan
2014-04-30,76,Tiantan
2014-05-31,68,Tiantan
2014-06-30,50,Tiantan
2014-07-31,69,Tiantan
2014-08-31,50,Tiantan
2014-09-30,51,Tiantan
2014-10-31,82,Tiantan
2014-11-30,75,Tiantan
2014-12-31,63,Tiantan
2015-01-31,69,Tiantan
2015-02-28,73,Tiantan
2015-03-31,81,Tiantan
2015-04-30,69,Tiantan
2015-05-31,56,Tiantan
2015-06-30,51,Tiantan
2015-07-31,48,Tiantan
2015-08-31,41,Tiantan
2015-09-30,38,Tiantan
2015-10-31,53,Tiantan
2015-11-30,75,Tiantan
2015-12-31,99,Tiantan
2016-01-31,52,Tiantan
2016-02-29,39,Tiantan
2016-03-31,75,Tiantan
2016-04-30,67,Tiantan
2016-05-31,52,Tiantan
2016-06-30,49,Tiantan
2016-07-31,47,Tiantan
2016-08-31,37,Tiantan
2016-09-30,41,Tiantan
2016-10-31,57,Tiantan
2016-11-30,78,Tiantan
2016-12-31,106,Tiantan
2017-01-31,90,Tiantan
2017-02-28,58,Tiantan
2013-03-31,71,Dingling
2013-04-30,53,Dingling
2013-05-31,67,Dingling
2013-06-30,58,Dingling
2013-07-31,43,Dingling
2013-08-31,40,Dingling
2013-09-30,43,Dingling
2013-10-31,52,Dingling
2013-11-30,43,Dingling
2013-12-31,41,Dingling
2014-01-31,61,Dingling
2014-02-28,94,Dingling
2014-03-31,69,Dingling
2014-04-30,72,Dingling
2014-05-31,47,Dingling
2014-06-30,43,Dingling
2014-07-31,64,Dingling
2014-08-31,48,Dingling
2014-09-30,44,Dingling
2014-10-31,76,Dingling
2014-11-30,55,Dingling
2014-12-31,40,Dingling
2015-01-31,57,Dingling
2015-02-28,66,Dingling
2015-03-31,76,Dingling
2015-04-30,58,Dingling
2015-05-31,52,Dingling
2015-06-30,50,Dingling
2015-07-31,43,Dingling
2015-08-31,44,Dingling
2015-09-30,36,Dingling
2015-10-31,44,Dingling
2015-11-30,53,Dingling
2015-12-31,78,Dingling
2016-01-31,45,Dingling
2016-02-29,36,Dingling
2016-03-31,81,Dingling
2016-04-30,70,Dingling
2016-05-31,54,Dingling
2016-06-30,46,Dingling
2016-07-31,52,Dingling
2016-08-31,33,Dingling
2016-09-30,33,Dingling
2016-10-31,57,Dingling
2016-11-30,60,Dingling
2016-12-31,63,Dingling
2017-01-31,57,Dingling
2017-02-28,44,Dingling
2013-03-31,87,Wanliu
2013-04-30,65,Wanliu
2013-05-31,78,Wanliu
2013-06-30,76,Wanliu
2013-07-31,53,Wanliu
2013-08-31,52,Wanliu
2013-09-30,63,Wanliu
2013-10-31,77,Wanliu
2013-11-30,68,Wanliu
2013-12-31,70,Wanliu
2014-01-31,84,Wanliu
2014-02-28,103,Wanliu
2014-03-31,90,Wanliu
2014-04-30,94,Wanliu
2014-05-31,79,Wanliu
2014-06-30,52,Wanliu
2014-07-31,72,Wanliu
2014-08-31,61,Wanliu
2014-09-30,57,Wanliu
2014-10-31,96,Wanliu
2014-11-30,86,Wanliu
2014-12-31,64,Wanliu
2015-01-31,75,Wanliu
2015-02-28,76,Wanliu
2015-03-31,91,Wanliu
2015-04-30,74,Wanliu
2015-05-31,57,Wanliu
2015-06-30,52,Wanliu
2015-07-31,49,Wanliu
2015-08-31,42,Wanliu
2015-09-30,40,Wanliu
2015-10-31,52,Wanliu
2015-11-30,70,Wanliu
2015-12-31,94,Wanliu
2016-01-31,49,Wanliu
2016-02-29,36,Wanliu
2016-03-31,83,Wanliu
2016-04-30,62,Wanliu
2016-05-31,45,Wanliu
2016-06-30,47,Wanliu
2016-07-31,48,Wanliu
2016-08-31,36,Wanliu
2016-09-30,39,Wanliu
2016-10-31,59,Wanliu
2016-11-30,80,Wanliu
2016-12-31,87,Wanliu
2017-01-31,79,Wanliu
2017-02-28,53,Wanliu
2013-03-31,87,Gucheng
2013-04-30,67,Gucheng
2013-05-31,89,Gucheng
2013-06-30,81,Gucheng
2013-07-31,51,Gucheng
2013-08-31,54,Gucheng
2013-09-30,61,Gucheng
2013-10-31,72,Gucheng
2013-11-30,57,Gucheng
2013-12-31,60,Gucheng
2014-01-31,74,Gucheng
2014-02-28,98,Gucheng
2014-03-31,92,Gucheng
2014-04-30,107,Gucheng
2014-05-31,90,Gucheng
2014-06-30,56,Gucheng
2014-07-31,82,Gucheng
2014-08-31,64,Gucheng
2014-09-30,68,Gucheng
2014-10-31,98,Gucheng
2014-11-30,82,Gucheng
2014-12-31,59,Gucheng
2015-01-31,69,Gucheng
2015-02-28,75,Gucheng
2015-03-31,93,Gucheng
2015-04-30,77,Gucheng
2015-05-31,68,Gucheng
2015-06-30,59,Gucheng
2015-07-31,53,Gucheng
2015-08-31,49,Gucheng
2015-09-30,48,Gucheng
2015-10-31,66,Gucheng
2015-11-30,83,Gucheng
2015-12-31,107,Gucheng
2016-01-31,57,Gucheng
2016-02-29,38,Gucheng
2016-03-31,92,Gucheng
2016-04-30,80,Gucheng
2016-05-31,63,Gucheng
2016-06-30,60,Gucheng
2016-07-31,57,Gucheng
2016-08-31,47,Gucheng
2016-09-30,54,Gucheng
2016-10-31,66,Gucheng
2016-11-30,86,Gucheng
2016-12-31,97,Gucheng
2017-01-31,90,Gucheng
2017-02-28,58,Gucheng
2013-03-31,87,Aotizhongxin
2013-04-30,65,Aotizhongxin
2013-05-31,84,Aotizhongxin
2013-06-30,77,Aotizhongxin
2013-07-31,53,Aotizhongxin
2013-08-31,52,Aotizhongxin
2013-09-30,62,Aotizhongxin
2013-10-31,71,Aotizhongxin
2013-11-30,63,Aotizhongxin
2013-12-31,63,Aotizhongxin
2014-01-31,75,Aotizhongxin
2014-02-28,97,Aotizhongxin
2014-03-31,88,Aotizhongxin
2014-04-30,99,Aotizhongxin
2014-05-31,80,Aotizhongxin
2014-06-30,40,Aotizhongxin
2014-07-31,58,Aotizhongxin
2014-08-31,51,Aotizhongxin
2014-09-30,61,Aotizhongxin
2014-10-31,98,Aotizhongxin
2014-11-30,79,Aotizhongxin
2014-12-31,47,Aotizhongxin
2015-01-31,68,Aotizhongxin
2015-02-28,74,Aotizhongxin
2015-03-31,92,Aotizhongxin
2015-04-30,82,Aotizhongxin
2015-05-31,65,Aotizhongxin
2015-06-30,55,Aotizhongxin
2015-07-31,54,Aotizhongxin
2015-08-31,47,Aotizhongxin
2015-09-30,45,Aotizhongxin
2015-10-31,59,Aotizhongxin
2015-11-30,78,Aotizhongxin
2015-12-31,100,Aotizhongxin
2016-01-31,52,Aotizhongxin
2016-02-29,39,Aotizhongxin
2016-03-31,93,Aotizhongxin
2016-04-30,69,Aotizhongxin
2016-05-31,48,Aotizhongxin
2016-06-30,48,Aotizhongxin
2016-07-31,49,Aotizhongxin
2016-08-31,37,Aotizhongxin
2016-09-30,41,Aotizhongxin
2016-10-31,59,Aotizhongxin
2016-11-30,75,Aotizhongxin
2016-12-31,86,Aotizhongxin
2017-01-31,77,Aotizhongxin
2017-02-28,54,Aotizhongxin
2013-03-31,75,Changping
2013-04-30,56,Changping
2013-05-31,71,Changping
2013-06-30,65,Changping
2013-07-31,46,Changping
2013-08-31,46,Changping
2013-09-30,52,Changping
2013-10-31,60,Changping
2013-11-30,49,Changping
2013-12-31,49,Changping
2014-01-31,66,Changping
2014-02-28,91,Changping
2014-03-31,76,Changping
2014-04-30,85,Changping
2014-05-31,60,Changping
2014-06-30,44,Changping
2014-07-31,64,Changping
2014-08-31,50,Changping
2014-09-30,48,Changping
2014-10-31,83,Changping
2014-11-30,71,Changping
2014-12-31,52,Changping
2015-01-31,68,Changping
2015-02-28,70,Changping
2015-03-31,85,Changping
2015-04-30,61,Changping
2015-05-31,52,Changping
2015-06-30,48,Changping
2015-07-31,42,Changping
2015-08-31,40,Changping
2015-09-30,32,Changping
2015-10-31,36,Changping
2015-11-30,59,Changping
2015-12-31,87,Changping
2016-01-31,48,Changping
2016-02-29,35,Changping
2016-03-31,76,Changping
2016-04-30,63,Changping
2016-05-31,47,Changping
2016-06-30,42,Changping
2016-07-31,43,Changping
2016-08-31,35,Changping
2016-09-30,34,Changping
2016-10-31,57,Changping
2016-11-30,71,Changping
2016-12-31,74,Changping
2017-01-31,67,Changping
2017-02-28,44,Changping
2013-03-31,73,Shunyi
2013-04-30,52,Shunyi
2013-05-31,74,Shunyi
2013-06-30,72,Shunyi
2013-07-31,51,Shunyi
2013-08-31,46,Shunyi
2013-09-30,55,Shunyi
2013-10-31,64,Shunyi
2013-11-30,53,Shunyi
2013-12-31,46,Shunyi
2014-01-31,67,Shunyi
2014-02-28,100,Shunyi
2014-03-31,79,Shunyi
2014-04-30,84,Shunyi
2014-05-31,65,Shunyi
2014-06-30,49,Shunyi
2014-07-31,69,Shunyi
2014-08-31,51,Shunyi
2014-09-30,51,Shunyi
2014-10-31,77,Shunyi
2014-11-30,71,Shunyi
2014-12-31,51,Shunyi
2015-01-31,65,Shunyi
2015-02-28,70,Shunyi
2015-03-31,83,Shunyi
2015-04-30,68,Shunyi
2015-05-31,50,Shunyi
2015-06-30,49,Shunyi
2015-07-31,45,Shunyi
2015-08-31,40,Shunyi
2015-09-30,37,Shunyi
2015-10-31,53,Shunyi
2015-11-30,72,Shunyi
2015-12-31,94,Shunyi
2016-01-31,47,Shunyi
2016-02-29,36,Shunyi
2016-03-31,74,Shunyi
2016-04-30,66,Shunyi
2016-05-31,47,Shunyi
2016-06-30,44,Shunyi
2016-07-31,45,Shunyi
2016-08-31,37,Shunyi
2016-09-30,39,Shunyi
2016-10-31,57,Shunyi
2016-11-30,74,Shunyi
2016-12-31,77,Shunyi
2017-01-31,79,Shunyi
2017-02-28,51,Shunyi
